rank,key,score,net_return,final_equity,max_drawdown,trades,win_rate,profit_factor,fees,daily_sharpe,exposure,halted,start,end,bars,positive_quarter_fraction
1,breakout_4h_20_10_atr2,0.07361725327885787,0.10077260383465192,11007.72603834652,0.046147420683422036,129,0.4263565891472868,1.3325510754898946,459.06780701005687,0.8256715369223708,0.27604562737642585,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5
2,breakout_4h_40_20_atr3,0.07073937312648335,0.08177237534700899,10817.72375347009,0.04356178607380723,72,0.4583333333333333,1.5037093959471397,175.75752743079886,0.9214242990676285,0.29703422053231937,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.6666666666666666
3,breakout_4h_40_20_atr2,0.050501881725904384,0.06454282741071937,10645.428274107195,0.04531963109498971,88,0.42045454545454547,1.2781220231203723,302.82677986386074,0.5916724214054707,0.24775665399239544,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5833333333333334
4,ema_1h_50_200_atr3,0.043825383196170166,0.06315854263426379,10631.585426342637,0.04730682862355473,77,0.4155844155844156,1.306713322551093,357.1984151173941,0.6958818052171,0.11402174739563531,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.6666666666666666
5,ema_4h_50_200_atr2,0.04251164307041343,0.05222040853211074,10522.204085321107,0.0160841975900613,17,0.5882352941176471,2.5033498807859034,52.93122197274616,1.03803136716963,0.08806083650190114,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.4166666666666667
6,breakout_4h_80_40_atr2,0.027804971011278674,0.04474255901547575,10447.425590154759,0.03839355473724859,66,0.42424242424242425,1.2339546151398941,227.38557995293147,0.48152352084608396,0.19482889733840303,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5833333333333334
7,ema_4h_20_100_atr2,0.02719103687445647,0.03376399313308753,10337.639931330876,0.025391374493445418,37,0.43243243243243246,1.3212272284762758,120.65253340626447,0.48958944685689676,0.13079847908745248,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5833333333333334
8,ema_4h_20_50_atr2,0.019584616440651143,0.031746979615663085,10317.46979615663,0.0345347765838494,58,0.39655172413793105,1.2006212976059767,190.86836297171152,0.36248879643817844,0.17079847908745246,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5833333333333334
9,breakout_1h_120_60_atr3,0.019419772449514188,0.05856663142896612,10585.666314289661,0.06693308591208924,147,0.40816326530612246,1.1410921787785293,614.4898865518073,0.471095128189049,0.20466124249106532,False,2022-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,26302,0.4166666666666667
10,breakout_4h_120_60_atr2,0.010274950325417198,0.02986734681644343,10298.673468164434,0.0392569562920283,55,0.41818181818181815,1.1878462046289426,185.20942626701108,0.3520755183344521,0.1574144486692015,False,2022-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,6575,0.5
